cell_type;min_sample;epsilon;x_roi_w_borders;y_roi_w_borders;id_cluster;in_cluster_edge;area_cluster;x_centroid;y_centroid;edge_cell_in_e1;edge_cell_in_e2;edge_cell_in_e3;edge_cell_in_e4;edge_cell_in_e5;edge_cell_in_e6;edge_cell_in_e7;edge_cell_in_e8;edge_cell_in_e9;edge_cell_in_e10;edge_cell_in_e11;edge_cell_in_e12;edge_cell_in_e13;edge_cell_in_e14;edge_cell_in_e15;edge_cell_in_e16;edge_cell_in_e17;edge_cell_in_e18;edge_cell_in_e19;edge_cell_in_e20;edge_cell_in_e21;edge_cell_in_e22;edge_cell_in_e23;edge_cell_in_e24;edge_cell_in_e25;edge_cell_in_e26;edge_cell_in_e27;edge_cell_in_e28;edge_cell_in_e29;edge_cell_in_e30;edge_cell_in_e31;edge_cell_in_e32;edge_cell_in_e33;edge_cell_in_e34;edge_cell_in_e35;edge_cell_in_e36;edge_cell_in_e37;edge_cell_in_e38;edge_cell_in_e39;edge_cell_in_e40;edge_cell_in_e41;edge_cell_in_e42;edge_cell_in_e43;edge_cell_in_e44;edge_cell_in_e45;edge_cell_in_e46;edge_cell_in_e47;edge_cell_in_e48;edge_cell_in_e49;edge_cell_in_e50;edge_cell_in_e51;edge_cell_in_e52;edge_cell_in_e53;edge_cell_in_e54;edge_cell_in_e55;edge_cell_in_e56;edge_cell_in_e57;edge_cell_in_e58;edge_cell_in_e59;edge_cell_in_e60;edge_cell_in_e61;edge_cell_in_e62;edge_cell_in_e63;edge_cell_in_e64;edge_cell_in_e65;edge_cell_in_e66;edge_cell_in_e67;edge_cell_in_e68;edge_cell_in_e69;edge_cell_in_e70;edge_cell_in_e71;edge_cell_in_e72;edge_cell_in_e73;edge_cell_in_e74;edge_cell_in_e75;edge_cell_in_e76;edge_cell_in_e77;edge_cell_in_e78;edge_cell_in_e79;edge_cell_in_e80;edge_cell_in_e81;edge_cell_in_e82;edge_cell_in_e83;edge_cell_in_e84;edge_cell_in_e85;edge_cell_in_e86;edge_cell_in_e87;edge_cell_in_e88;edge_cell_in_e89;edge_cell_in_e90;edge_cell_in_e91;edge_cell_in_e92;edge_cell_in_e93;edge_cell_in_e94;edge_cell_in_e95;edge_cell_in_e96;edge_cell_in_e97;edge_cell_in_e98;edge_cell_in_e99
B;4;5257.692307692308;-306;-343;0;True;125473.5;-690.0;-161.0;True;True;True;True;True;True;True;False;True;True;True;False;True;True;True;True;False;True;True;True;True;True;True;False;False;True;True;True;True;False;True;True;False;False;True;True;False;False;False;True;True;False;True;True;True;True;True;False;True;True;True;False;False;False;False;True;True;True;True;True;False;True;False;True;False;True;True;True;True;False;True;False;False;True;True;True;False;True;True;False;True;True;True;False;True;True;False;False;True;True;True;True;True;True;True;False;True;True;False
B;4;5257.692307692308;-490;-277;0;False;125473.5;-690.0;-161.0;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True
B;4;5257.692307692308;-369;-127;0;True;125473.5;-690.0;-161.0;False;False;True;False;False;False;True;True;True;True;False;True;False;True;False;False;True;False;True;False;True;False;True;True;True;False;True;True;False;True;False;False;True;True;False;False;True;True;True;True;False;True;False;False;False;False;True;True;False;True;True;True;True;True;True;False;True;True;False;False;True;True;True;False;True;False;True;False;False;True;False;True;True;True;True;False;True;False;True;True;False;True;False;True;False;False;True;True;False;True;True;False;False;True;False;True;False;True;True
B;4;5257.692307692308;-1597;100;0;True;125473.5;-690.0;-161.0;True;True;False;True;True;True;False;True;False;False;True;True;True;False;True;True;True;True;False;True;False;True;False;True;True;True;False;False;True;True;True;True;True;True;True;True;True;True;True;False;True;True;True;True;True;True;False;True;True;False;False;True;True;True;True;True;False;False;True;True;True;False;True;True;True;True;False;True;True;True;True;True;True;False;False;True;True;True;False;True;True;False;True;True;True;True;True;True;True;False;False;True;True;False;True;True;True;False;True
BnT;4;3864.102564102564;-348;-280;0;False;6472.0;-355.0;-269.0;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False
BnT;4;3864.102564102564;-383;-166;0;True;6472.0;-355.0;-269.0;True;True;True;True;True;True;True;True;True;False;True;False;True;False;True;False;True;False;True;True;True;False;True;False;True;True;True;True;False;True;True;False;True;True;False;True;True;True;True;True;False;True;True;True;True;True;True;True;False;True;False;True;True;True;False;True;False;True;False;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;False;True;False;True;True;True;True;True;True;True;True;True;True;False;True;True;True;True;True;True;True;True
BnT;4;3864.102564102564;-366;-262;0;False;6472.0;-355.0;-269.0;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False
BnT;4;3864.102564102564;-313;-360;0;True;6472.0;-355.0;-269.0;True;True;False;True;True;True;True;False;False;True;True;True;True;True;True;True;False;True;False;False;False;True;True;True;False;True;True;True;True;True;False;True;True;True;True;True;True;True;True;False;True;False;True;False;True;False;False;True;True;False;True;True;True;False;True;True;True;False;True;True;True;True;True;True;False;False;True;True;True;False;True;True;True;False;True;True;True;True;True;True;True;True;True;False;True;True;False;False;True;True;True;True;True;False;True;False;False;True;True
BnT;4;3864.102564102564;-406;-221;0;True;6472.0;-355.0;-269.0;True;True;True;False;True;False;False;True;True;True;False;True;True;True;False;True;True;True;True;True;True;True;True;True;True;True;False;True;True;True;True;True;False;True;True;False;False;False;True;True;True;True;True;True;True;True;True;False;True;True;True;True;True;True;True;False;True;True;True;False;False;True;False;False;True;True;True;True;True;True;True;False;True;True;False;True;False;True;True;True;True;False;False;True;False;False;True;True;False;True;True;False;False;True;True;True;True;False;False
BnT;4;3864.102564102564;-305;-316;0;True;6472.0;-355.0;-269.0;False;False;True;True;False;True;True;True;True;True;True;True;False;True;True;True;True;True;True;True;True;True;False;True;True;False;True;False;True;False;True;True;True;False;True;True;True;True;False;True;True;True;False;True;False;True;True;True;True;True;True;False;False;True;True;True;True;True;True;True;True;False;True;True;True;True;False;False;False;True;False;True;False;True;True;False;True;True;False;True;False;True;True;True;True;True;True;True;True;False;True;True;True;True;False;True;True;True;True
