;type_A;type_B;min_levelset;max_levelset;w_number;m_a;eta_t;k;mt_a;sigma_a;threshold;eta_s;eta_a;z_score;p_value;distance_association;proba
0;B;BnT;0;50.0;0;84615294.0;0.0;0.0;11716.324286901136;;;0.0;-0.0;;;773.5765854659718;False
1;B;BnT;50;100.0;1;998.0;0.0;0.0;0.1381888673497646;2661.4010408053873;7265.1205187547575;0.0;-0.0;-0.37499045979856815;;773.5765854659718;False
2;B;BnT;100;150.0;2;1180.0;0.0;0.0;0.16338964275823872;2889.2749955654963;7983.7226751643375;0.0;-0.0;-0.40840695392826304;;773.5765854659718;False
3;B;BnT;150;200.0;3;1501.0;0.0;0.0;0.20783716422043755;3249.399463747109;9152.75099154451;0.0;-0.0;-0.46193150972859837;;773.5765854659718;False
4;B;BnT;200;250.0;4;1620.0;0.0;0.0;0.22431459429520909;3372.1788208812413;9560.874282839977;0.0;-0.0;-0.4804015700379288;;773.5765854659718;False
5;B;BnT;250;300.0;5;1844.0;0.0;0.0;0.2553309332594849;3590.588531146391;10299.189846601754;0.0;-0.0;-0.5135648331754834;;773.5765854659718;False
6;B;BnT;300;400.0;6;4397.0;0.0;0.0;0.6088341179728607;5416.496365271558;17151.87421477874;0.0;-0.0;-0.811779368706279;;773.5765854659718;False
7;B;BnT;400;500.0;7;5137.0;0.0;0.0;0.711298809194129;5813.847080462299;18827.563643817284;0.0;-0.0;-0.8835801714260983;;773.5765854659718;False
8;B;BnT;500;600.0;8;5411.0;0.0;0.0;0.7492384381057878;5951.3340416246165;19425.3206958927;0.0;-0.0;-0.9092079124032645;;773.5765854659718;False
9;B;BnT;600;700.0;9;5606.0;2.0;14444.0;0.7762392689005816;6046.331739162183;19844.02317828595;0.0;0.0;1.4617127179370821;;773.5765854659718;False
10;B;BnT;700;800.0;10;5667.0;4.0;28888.0;0.7846856826363888;6075.583336190854;19973.905425318233;4.0;3.215314317363611;3.822019831688891;;773.5765854659718;False
11;B;BnT;800;900.0;11;5417.0;2.0;14444.0;0.7500692328994738;5954.291551057942;19438.285098389664;0.0;0.0;1.5160493775949058;;773.5765854659718;False
12;B;BnT;900;1000.0;12;4561.0;0.0;0.0;0.631542509000277;5508.103291969023;17531.592042029617;0.0;-0.0;-0.8280527358029165;;773.5765854659718;False
13;B;BnT;1000;1100.0;13;3805.0;0.0;0.0;0.526862364995846;5066.552760506891;15735.819999648518;0.0;-0.0;-0.7510037257796804;;773.5765854659718;False
14;B;BnT;1100;1200.0;14;3098.0;0.0;0.0;0.42896704513985046;4601.527518118303;13933.769237426495;0.0;-0.0;-0.6732546937515351;;773.5765854659718;False
15;B;BnT;1200;inf;15;6976.0;0.0;0.0;0.9659374134588756;6655.644221260628;22648.84442481893;0.0;-0.0;-1.0481329482300203;;773.5765854659718;False
16;B;DC;0;50.0;0;84615294.0;0.0;0.0;496479.2416574356;;;0.0;-0.0;;;1006.9523672877968;False
