type_A,type_B,accumulation,significant_accumulation,association_score,distance_association,p_value,proba
B,BnT,1.0,0.5,0.4019142896704514,773.5765854659718,,False
B,DC,0.8525073746312685,0.2271386430678466,0.0823380338183312,1006.9523672877968,,False
B,MacCD163,0.8640243902439024,0.0,0.0,0.0,,False
B,Neutrophil,0.8066825775656324,0.0,0.0,0.0,,False
B,T,0.8968609865470852,0.0,0.0,0.0,,False
B,Tumor,0.838400563677999,0.2338206799365862,0.0353991900445895,1073.584549725677,,False
B,Tumor_CD15,0.8268755152514426,0.0527617477328936,0.020845381075458,276.69976134256984,,False
B,other,0.8650888486296882,0.0608256562463863,0.0072047756039049,1147.7889411429824,,False
BnT,B,0.1111111111111111,0.0666666666666666,0.057562540385858,1141.6145327092402,,False
BnT,DC,0.0707964601769911,0.0206489675516224,0.0119602386676567,850.3249852061517,,False
BnT,MacCD163,0.1006097560975609,0.0583333333333333,0.0225053078556263,943.7441373924706,,False
BnT,Neutrophil,0.0310262529832935,0.0,0.0,0.0,,False
BnT,T,0.1076233183856502,0.0541319666880205,0.0263522657741462,1002.3880727605748,,False
BnT,Tumor,0.0658446362515413,0.0260348775761846,0.0060611860779846,827.7873516917917,,False
BnT,Tumor_CD15,0.044517724649629,0.0173124484748557,0.008208322194047,1145.991261710688,,False
BnT,other,0.0955556412134294,0.066530470647188,0.0178251258673486,870.8712423090641,,False
DC,B,0.9333333333333332,0.1555555555555555,0.1267546693744423,887.0406968248639,,False
DC,BnT,0.125,0.0,0.0,0.0,,False
DC,MacCD163,0.975609756097561,0.1676829268292683,0.0642489750153663,836.6326546598672,,False
DC,Neutrophil,1.0,0.2410501193317422,0.1021343065375024,646.1495293702725,,False
DC,T,0.9218449711723254,0.1777706598334401,0.0743367080195381,854.2721107890952,,False
DC,Tumor,0.9983794257530386,0.3643473665668487,0.0711979619697841,715.029760463841,,False
DC,Tumor_CD15,1.0,0.2712283594394064,0.1292143743937127,649.6330710130933,,False
DC,other,0.9900551208418455,0.2449986508884863,0.0723317996007543,739.1841765001203,,False
MacCD163,B,1.0,0.1333333333333333,0.1196598356872519,369.83905778822685,,False
MacCD163,BnT,1.0,0.625,0.5553863195790639,178.46301250438515,,False
MacCD163,DC,1.0,0.0530973451327433,0.0312024406741446,340.31453635700194,,False
MacCD163,Neutrophil,1.0,0.1312649164677804,0.0982062069690266,345.00532537167084,,False
MacCD163,T,1.0,0.1860986547085202,0.0483944176550723,221.11200856501756,,False
MacCD163,Tumor,1.0,0.2091245376078915,0.0646181681811399,336.3364681474411,,False
MacCD163,Tumor_CD15,1.0,0.2275350370981038,0.1526423480922883,366.2528063607909,,False
MacCD163,other,1.0,0.1896850788266584,0.0451787093999068,324.7172531292475,,False
Neutrophil,B,0.9333333333333332,0.0,0.0,0.0,,False
Neutrophil,BnT,0.125,0.0,0.0,0.0,,False
Neutrophil,DC,0.967551622418879,0.0,0.0,0.0,,False
Neutrophil,MacCD163,0.9254065040650408,0.1416666666666666,0.0442040524323825,926.034618244616,,False
Neutrophil,T,0.8574631646380525,0.2411915438821268,0.09270428273563,870.6684384340816,,False
Neutrophil,Tumor,0.9655804121895368,0.3458516822265281,0.0306689073719171,277.5020628407256,,False
Neutrophil,Tumor_CD15,0.9917559769167352,0.3289365210222588,0.1180358010001043,115.77378500914386,,False
Neutrophil,other,0.9402536329645762,0.2130825270785953,0.0437042385158703,925.1211517711512,,False
T,B,1.0,0.0666666666666666,0.0644339056586356,861.5197713936573,,False
T,BnT,1.0,0.75,0.5732657158681805,246.08153598544325,,False
T,DC,1.0,0.1504424778761062,0.0933599522599334,555.0982653513506,,False
T,MacCD163,1.0,0.2186991869918699,0.0410302587171537,266.9381095272587,,False
T,Neutrophil,1.0,0.4463007159904534,0.2229034576132726,455.3218895900496,,False
T,Tumor,1.0,0.1159415184076096,0.0503952708307611,655.4636467505891,,False
T,Tumor_CD15,1.0,0.2992580379225061,0.1570536624032594,529.224650310189,,False
T,other,1.0,0.2825424970126816,0.0559432170348361,487.8716547289526,,False
Tumor,B,1.0,0.1111111111111111,0.0869661374196129,443.9592102965927,,False
Tumor,BnT,1.0,0.875,0.8532954860149543,555.4773164041626,,False
Tumor,DC,1.0,0.1887905604719764,0.0903067609704532,190.48026043724707,,False
Tumor,MacCD163,0.9965447154471544,0.4888211382113821,0.2723298615567158,295.112156753532,,False
Tumor,Neutrophil,1.0,0.2291169451073985,0.0945974214297469,116.21041320381327,,False
Tumor,T,0.9967969250480462,0.5403587443946188,0.3238674677399525,391.5813233292516,,False
Tumor,Tumor_CD15,1.0,0.3388293487221764,0.1621989139395677,151.04014564955273,,False
Tumor,other,0.9981112438808156,0.4226959102648113,0.206204633610145,228.9949135603181,,False
Tumor_CD15,B,0.8444444444444444,0.0,0.0,0.0,,False
Tumor_CD15,BnT,0.125,0.0,0.0,0.0,,False
Tumor_CD15,DC,0.9203539823008848,0.0530973451327433,0.0263042130363711,946.3688634163844,,False
Tumor_CD15,MacCD163,0.8658536585365854,0.1983739837398374,0.0616909319536285,920.8573620870806,,False
Tumor_CD15,Neutrophil,0.9928400954653938,0.2720763723150358,0.1160600333507599,133.0102698370553,,False
Tumor_CD15,T,0.7972453555413197,0.2024343369634849,0.0544490143381733,923.4248387321394,,False
Tumor_CD15,Tumor,0.9230931830192004,0.2938523868240267,0.0333116778791361,752.6318117380217,,False
Tumor_CD15,other,0.8919168947307559,0.2555988127818679,0.0506521221144627,889.676480481615,,False
other,B,1.0,0.3111111111111111,0.264344287516539,129.9609135855477,,False
other,BnT,1.0,0.75,0.7432151758515647,168.94179086386453,,False
other,DC,1.0,0.0530973451327433,0.046312520984308,145.28774290802377,,False
other,MacCD163,1.0,0.15,0.0981791747438382,155.7982957475935,,False
other,Neutrophil,1.0,0.2052505966587112,0.1534297714025495,123.00250571803508,,False
other,T,1.0,0.2226137091607943,0.1707928839046326,164.39488150145075,,False
other,Tumor,1.0,0.1508895543420821,0.0990687290859203,124.66668738240207,,False
other,Tumor_CD15,1.0,0.1912613355317395,0.1394405102755777,135.30750283901517,,False
