type_A,type_B,accumulation,significant_accumulation,association_score,distance_association,p_value,proba
B,BnT,1,0.5,0.40191429,773.5765855,,FALSE
B,DC,0.852507375,0.227138643,0.082338034,1006.952367,,FALSE
B,MacCD163,0.86402439,0,0,0,,FALSE
B,Neutrophil,0.806682578,0,0,0,,FALSE
B,T,0.896860987,0,0,0,,FALSE
B,Tumor,0.838400564,0.23382068,0.03539919,1073.58455,,FALSE
B,Tumor_CD15,0.826875515,0.052761748,0.020845381,276.6997613,,FALSE
B,other,0.865088849,0.060825656,0.007204776,1147.788941,,FALSE
BnT,B,0.111111111,0.066666667,0.05756254,1141.614533,,FALSE
BnT,DC,0.07079646,0.020648968,0.011960239,850.3249852,,FALSE
BnT,MacCD163,0.100609756,0.058333333,0.022505308,943.7441374,,FALSE
BnT,Neutrophil,0.031026253,0,0,0,,FALSE
BnT,T,0.107623318,0.054131967,0.026352266,1002.388073,,FALSE
BnT,Tumor,0.065844636,0.026034878,0.006061186,827.7873517,,FALSE
BnT,Tumor_CD15,0.044517725,0.017312448,0.008208322,1145.991262,,FALSE
BnT,other,0.095555641,0.066530471,0.017825126,870.8712423,,FALSE
DC,B,0.933333333,0.155555556,0.126754669,887.0406968,,FALSE
DC,BnT,0.125,0,0,0,,FALSE
DC,MacCD163,0.975609756,0.167682927,0.064248975,836.6326547,,FALSE
DC,Neutrophil,1,0.241050119,0.102134307,646.1495294,,FALSE
DC,T,0.921844971,0.17777066,0.074336708,854.2721108,,FALSE
DC,Tumor,0.998379426,0.364347367,0.071197962,715.0297605,,FALSE
DC,Tumor_CD15,1,0.271228359,0.129214374,649.633071,,FALSE
DC,other,0.990055121,0.244998651,0.0723318,739.1841765,,FALSE
MacCD163,B,1,0.133333333,0.119659836,369.8390578,,FALSE
MacCD163,BnT,1,0.625,0.55538632,178.4630125,,FALSE
MacCD163,DC,1,0.053097345,0.031202441,340.3145364,,FALSE
MacCD163,Neutrophil,1,0.131264916,0.098206207,345.0053254,,FALSE
MacCD163,T,1,0.186098655,0.048394418,221.1120086,,FALSE
MacCD163,Tumor,1,0.209124538,0.064618168,336.3364681,,FALSE
MacCD163,Tumor_CD15,1,0.227535037,0.152642348,366.2528064,,FALSE
MacCD163,other,1,0.189685079,0.045178709,324.7172531,,FALSE
Neutrophil,B,0.933333333,0,0,0,,FALSE
Neutrophil,BnT,0.125,0,0,0,,FALSE
Neutrophil,DC,0.967551622,0,0,0,,FALSE
Neutrophil,MacCD163,0.925406504,0.141666667,0.044204052,926.0346182,,FALSE
Neutrophil,T,0.857463165,0.241191544,0.092704283,870.6684384,,FALSE
Neutrophil,Tumor,0.965580412,0.345851682,0.030668907,277.5020628,,FALSE
Neutrophil,Tumor_CD15,0.991755977,0.328936521,0.118035801,115.773785,,FALSE
Neutrophil,other,0.940253633,0.213082527,0.043704239,925.1211518,,FALSE
T,B,1,0.066666667,0.064433906,861.5197714,,FALSE
T,BnT,1,0.75,0.573265716,246.081536,,FALSE
T,DC,1,0.150442478,0.093359952,555.0982654,,FALSE
T,MacCD163,1,0.218699187,0.041030259,266.9381095,,FALSE
T,Neutrophil,1,0.446300716,0.222903458,455.3218896,,FALSE
T,Tumor,1,0.115941518,0.050395271,655.4636468,,FALSE
T,Tumor_CD15,1,0.299258038,0.157053662,529.2246503,,FALSE
T,other,1,0.282542497,0.055943217,487.8716547,,FALSE
Tumor,B,1,0.111111111,0.086966137,443.9592103,,FALSE
Tumor,BnT,1,0.875,0.853295486,555.4773164,,FALSE
Tumor,DC,1,0.18879056,0.090306761,190.4802604,,FALSE
Tumor,MacCD163,0.996544715,0.488821138,0.272329862,295.1121568,,FALSE
Tumor,Neutrophil,1,0.229116945,0.094597421,116.2104132,,FALSE
Tumor,T,0.996796925,0.540358744,0.323867468,391.5813233,,FALSE
Tumor,Tumor_CD15,1,0.338829349,0.162198914,151.0401456,,FALSE
Tumor,other,0.998111244,0.42269591,0.206204634,228.9949136,,FALSE
Tumor_CD15,B,0.844444444,0,0,0,,FALSE
Tumor_CD15,BnT,0.125,0,0,0,,FALSE
Tumor_CD15,DC,0.920353982,0.053097345,0.026304213,946.3688634,,FALSE
Tumor_CD15,MacCD163,0.865853659,0.198373984,0.061690932,920.8573621,,FALSE
Tumor_CD15,Neutrophil,0.992840095,0.272076372,0.116060033,133.0102698,,FALSE
Tumor_CD15,T,0.797245356,0.202434337,0.054449014,923.4248387,,FALSE
Tumor_CD15,Tumor,0.923093183,0.293852387,0.033311678,752.6318117,,FALSE
Tumor_CD15,other,0.891916895,0.255598813,0.050652122,889.6764805,,FALSE
other,B,1,0.311111111,0.264344288,129.9609136,,FALSE
other,BnT,1,0.75,0.743215176,168.9417909,,FALSE
other,DC,1,0.053097345,0.046312521,145.2877429,,FALSE
other,MacCD163,1,0.15,0.098179175,155.7982957,,FALSE
other,Neutrophil,1,0.205250597,0.153429771,123.0025057,,FALSE
other,T,1,0.222613709,0.170792884,164.3948815,,FALSE
other,Tumor,1,0.150889554,0.099068729,124.6666874,,FALSE
other,Tumor_CD15,1,0.191261336,0.13944051,135.3075028,,FALSE
