type_A;type_B;epsilon_A;min_sample_A;epsilon_B;min_sample_B;threshold_conserved_area;ratio_removed_cells_robustess_test;n_experiment_of_removing;n_robust_cluster_A;n_robust_clustered_cells_A;n_robust_isolated_cells_A;fraction_robust_clustered_A;n_robust_cluster_B;n_robust_clustered_cells_B;n_robust_isolated_cells_B;fraction_robust_clustered_B;n_all_cluster_A;n_all_clustered_cells_A;n_all_isolated_cells_A;fraction_all_clustered_A;n_all_cluster_B;n_all_clustered_cells_B;n_all_isolated_cells_B;fraction_all_clustered_B;fraction_robust_clusters_A;mean_n_cells_robust_clusters_A;std_n_cells_robust_clusters_A;mean_n_edge_cells_robust_clusters_A;std_n_edge_cells_robust_clusters_A;mean_n_inside_cells_robust_clusters_A;mean_area_robust_clusters_A;std_area_robust_clusters_A;mean_conserved_area_robust_clusters_A;std_conserved_area_robust_clusters_A;mean_distance_old_new_centroid_robust_clusters_A;std_distance_old_new_centroid_robust_clusters_A;mean_n_cells_all_clusters_A;std_n_cells_all_clusters_A;mean_n_edge_cells_all_clusters_A;std_n_edge_cells_all_clusters_A;mean_n_inside_cells_all_clusters_A;mean_area_all_clusters_A;std_area_all_clusters_A;mean_conserved_area_all_clusters_A;std_conserved_area_all_clusters_A;mean_distance_old_new_centroid_all_clusters_A;std_distance_old_new_centroid_all_clusters_A;mean_n_cells_robust_clusters_B;std_n_cells_robust_clusters_B;mean_n_edge_cells_robust_clusters_B;std_n_edge_cells_robust_clusters_B;mean_n_inside_cells_robust_clusters_B;mean_area_robust_clusters_B;std_area_robust_clusters_B;mean_conserved_area_robust_clusters_B;std_conserved_area_robust_clusters_B;mean_distance_old_new_centroid_robust_clusters_B;std_distance_old_new_centroid_robust_clusters_B;mean_n_cells_all_clusters_B;std_n_cells_all_clusters_B;mean_n_edge_cells_all_clusters_B;std_n_edge_cells_all_clusters_B;mean_n_inside_cells_all_clusters_B;mean_area_all_clusters_B;std_area_all_clusters_B;mean_conserved_area_all_clusters_B;std_conserved_area_all_clusters_B;mean_distance_old_new_centroid_all_clusters_B;std_distance_old_new_centroid_all_clusters_B;iou;i_A;fraction_A_in_B_clusters;fraction_clustered_A_in_clustered_B;i_B;fraction_B_in_A_clusters;fraction_clustered_B_in_clustered_A
B;B;5257.692307692308;4;5257.692307692308;4;0.6;0.1;100;0;0;4;0.0;0;0;4;0.0;1;4;0;1.0;1;4;0;1.0;0.0;;;;;;;;;;;;4.0;;3.0;;1.0;125473.5;;0.29923369468372996;;172.57603135570022;;;;;;;;;;;;;4.0;;3.0;;1.0;125473.5;;0.29923369468372996;;172.57603135570022;;0.0;0.0;0.0;0.0;0.0;0.0;0.0
B;BnT;5257.692307692308;4;3864.102564102564;4;0.6;0.1;100;0;0;4;0.0;1;7;0;1.0;1;4;0;1.0;1;7;0;1.0;0.0;;;;;;;;;;;;4.0;;3.0;;1.0;125473.5;;0.29923369468372996;;172.57603135570022;;7.0;;4.0;;3.0;6472.0;;0.6352617647426053;;14.152800466769595;;7.0;;4.0;;3.0;6472.0;;0.6352617647426053;;14.152800466769595;;0.0;0.0;0.0;0.0;0.0;0.0;0.0
B;DC;5257.692307692308;4;2100.0;4;0.6;0.1;100;0;0;4;0.0;2;17;9;0.6538461538461539;1;4;0;1.0;4;26;0;1.0;0.0;;;;;;;;;;;;4.0;;3.0;;1.0;125473.5;;0.29923369468372996;;172.57603135570022;;8.5;4.949747468305833;4.5;0.7071067811865476;4.0;195608.75;150304.38517596552;0.747278403308073;0.12599486654113878;63.808552345335976;23.220041950168532;6.5;3.696845502136472;4.0;0.816496580927726;2.5;111779.25;130289.98803982088;0.6096098229949404;0.17719696003681937;55.72728807620885;18.999181800042646;0.0;0.0;0.5;0.0;0.0;0.0;0.0
B;MacCD163;5257.692307692308;4;1466.6666666666667;4;0.6;0.1;100;0;0;4;0.0;23;271;226;0.545271629778672;1;4;0;1.0;38;332;165;0.6680080482897385;0.0;;;;;;;;;;;;4.0;;3.0;;1.0;125473.5;;0.29923369468372996;;172.57603135570022;;11.782608695652174;11.032829200078409;6.086956521739131;1.3788349323798652;5.695652173913044;25685.217391304348;47043.84439802988;0.8447621362002404;0.1083207768503265;10.334679127730045;2.8114389555519157;8.736842105263158;9.330809792284958;5.131578947368421;1.6303051054456354;3.6052631578947367;16751.25;37998.42449663343;0.6995904466219952;0.21374170374297433;12.226758938587391;4.548081346281017;0.0;0.0;0.5;0.0;0.0;0.0;0.0
B;Neutrophil;5257.692307692308;4;6300.0;4;0.6;0.1;100;0;0;4;0.0;0;0;4;0.0;1;4;0;1.0;1;4;0;1.0;0.0;;;;;;;;;;;;4.0;;3.0;;1.0;125473.5;;0.29923369468372996;;172.57603135570022;;;;;;;;;;;;;4.0;;3.0;;1.0;3030445.0;;0.33423900756916197;;557.4902940425847;;0.0;0.0;0.0;0.0;0.0;0.0;0.0
B;T;5257.692307692308;4;1400.0;4;0.6;0.1;100;0;0;4;0.0;19;381;167;0.6952554744525548;1;4;0;1.0;27;416;132;0.7591240875912408;0.0;;;;;;;;;;;;4.0;;3.0;;1.0;125473.5;;0.29923369468372996;;172.57603135570022;;20.05263157894737;54.28983297922623;5.578947368421052;2.631345018842481;14.473684210526315;46257.44736842105;163081.09968789684;0.7897130912068188;0.08823021980103322;11.21050952484222;3.272457177643326;15.407407407407407;45.75794110085345;4.962962962962963;2.4096198468363856;10.444444444444445;33586.555555555555;137150.3082220052;0.6878690965446632;0.18415009319345788;13.167728465061192;5.143091467535694;0.0;0.0;1.0;0.0;0.0;0.0;0.0
B;Tumor;5257.692307692308;4;600.0;4;0.6;0.1;100;0;0;4;0.0;52;554;446;0.554;1;4;0;1.0;82;673;327;0.673;0.0;;;;;;;;;;;;4.0;;3.0;;1.0;125473.5;;0.29923369468372996;;172.57603135570022;;10.653846153846153;6.848170259086429;5.8076923076923075;1.386750490563073;4.846153846153846;3061.25;3575.407790399168;0.818291490869303;0.09287273796900009;4.2171034369068225;0.8445922376290474;8.207317073170731;6.339641702065591;4.951219512195122;1.6094047594109362;3.2560975609756095;2082.310975609756;3121.302482800619;0.6988851657824479;0.19985005854975355;4.697525458978089;1.198763446803111;0.0;0.0;0.0;0.0;0.0;0.0;0.0
B;Tumor_CD15;5257.692307692308;4;3770.0;4;0.6;0.1;100;0;0;4;0.0;0;0;3;0.0;1;4;0;1.0;0;0;3;0.0;0.0;;;;;;;;;;;;4.0;;3.0;;1.0;125473.5;;0.29923369468372996;;172.57603135570022;;;;;;;;;;;;;;;;;;;;;;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0
B;other;5257.692307692308;4;1400.0;4;0.6;0.1;100;0;0;4;0.0;79;920;631;0.5931656995486783;1;4;0;1.0;113;1063;488;0.685364281108962;0.0;;;;;;;;;;;;4.0;;3.0;;1.0;125473.5;;0.29923369468372996;;172.57603135570022;;11.645569620253164;7.360737795175266;5.594936708860759;1.4721255114914291;6.050632911392405;9025.73417721519;10194.529335734449;0.8199104927707005;0.10570707131916668;6.672926711989142;1.7475005914759745;9.4070796460177;7.044041514618671;5.035398230088496;1.5173355614590556;4.371681415929204;6619.159292035398;9278.365009830637;0.7216579751253407;0.18364551658355943;7.325488850353583;2.2605696571516334;0.0;0.0;0.25;0.0;0.0;0.0;0.0
BnT;B;3864.102564102564;4;5257.692307692308;4;0.6;0.1;100;1;7;0;1.0;0;0;4;0.0;1;7;0;1.0;1;4;0;1.0;1.0;7.0;;4.0;;3.0;6472.0;;0.6352617647426053;;14.152800466769595;;7.0;;4.0;;3.0;6472.0;;0.6352617647426053;;14.152800466769595;;;;;;;;;;;;;4.0;;3.0;;1.0;125473.5;;0.29923369468372996;;172.57603135570022;;0.0;0.0;0.0;0.0;0.0;0.0;0.0
