cell_type;epsilon;min_sample;n_cluster;n_clustered_cells;n_isolated_cells;is_optimal
B;100;4;0;0;4;False
B;200;4;0;0;4;False
B;300;4;0;0;4;False
B;400;4;0;0;4;False
B;500;4;0;0;4;False
B;600;4;0;0;4;False
B;800;4;0;0;4;False
B;1000;4;0;0;4;False
B;1200;4;0;0;4;False
B;1400;4;0;0;4;False
B;1600;4;0;0;4;False
B;1800;4;0;0;4;False
B;2000;4;0;0;4;False
B;2200;4;0;0;4;False
B;2400;4;1;4;0;False
B;2600;4;1;4;0;False
B;2800;4;1;4;0;False
B;3000;4;1;4;0;False
B;3200;4;1;4;0;False
B;3600;4;1;4;0;False
B;3800;4;1;4;0;False
B;4000;4;1;4;0;False
B;4200;4;1;4;0;False
B;4400;4;1;4;0;False
B;4600;4;1;4;0;False
B;4800;4;1;4;0;False
B;5000;4;1;4;0;False
B;5200;4;1;4;0;False
B;5400;4;1;4;0;False
B;5600;4;1;4;0;False
B;5800;4;1;4;0;False
B;6000;4;1;4;0;False
B;6300;4;1;4;0;False
B;6600;4;1;4;0;False
B;7000;4;1;4;0;False
B;7300;4;1;4;0;False
B;7600;4;1;4;0;False
B;8000;4;1;4;0;False
B;8500;4;1;4;0;False
B;9000;4;1;4;0;False
B;9000;4;1;4;0;False
BnT;100;4;0;0;7;False
BnT;200;4;1;7;0;False
BnT;300;4;1;7;0;False
BnT;400;4;1;7;0;False
BnT;500;4;1;7;0;False
BnT;600;4;1;7;0;False
BnT;800;4;1;7;0;False
BnT;1000;4;1;7;0;False
BnT;1200;4;1;7;0;False
BnT;1400;4;1;7;0;False
BnT;1600;4;1;7;0;False
BnT;1800;4;1;7;0;False
BnT;2000;4;1;7;0;False
BnT;2200;4;1;7;0;False
BnT;2400;4;1;7;0;False
BnT;2600;4;1;7;0;False
BnT;2800;4;1;7;0;False
BnT;3000;4;1;7;0;False
BnT;3200;4;1;7;0;False
BnT;3600;4;1;7;0;False
BnT;3800;4;1;7;0;False
BnT;4000;4;1;7;0;False
BnT;4200;4;1;7;0;False
BnT;4400;4;1;7;0;False
BnT;4600;4;1;7;0;False
BnT;4800;4;1;7;0;False
BnT;5000;4;1;7;0;False
BnT;5200;4;1;7;0;False
BnT;5400;4;1;7;0;False
BnT;5600;4;1;7;0;False
BnT;5800;4;1;7;0;False
BnT;6000;4;1;7;0;False
BnT;6300;4;1;7;0;False
BnT;6600;4;1;7;0;False
BnT;7000;4;1;7;0;False
BnT;7300;4;1;7;0;False
BnT;7600;4;1;7;0;False
BnT;8000;4;1;7;0;False
BnT;8500;4;1;7;0;False
BnT;9000;4;1;7;0;False
BnT;9000;4;1;7;0;False
DC;100;4;0;0;26;False
DC;200;4;0;0;26;False
DC;300;4;1;4;22;False
DC;400;4;1;4;22;False
DC;500;4;1;4;22;False
DC;600;4;2;8;18;False
DC;800;4;2;9;17;False
DC;1000;4;2;11;15;False
DC;1200;4;3;19;7;False
DC;1400;4;3;21;5;False
DC;1600;4;3;21;5;False
DC;1800;4;4;26;0;False
DC;2000;4;4;26;0;False
DC;2200;4;4;26;0;False
DC;2400;4;4;26;0;False
DC;2600;4;3;26;0;False
DC;2800;4;3;26;0;False
DC;3000;4;3;26;0;False
DC;3200;4;2;26;0;False
DC;3600;4;1;26;0;False
DC;3800;4;1;26;0;False
DC;4000;4;1;26;0;False
DC;4200;4;1;26;0;False
DC;4400;4;1;26;0;False
DC;4600;4;1;26;0;False
DC;4800;4;1;26;0;False
DC;5000;4;1;26;0;False
DC;5200;4;1;26;0;False
DC;5400;4;1;26;0;False
DC;5600;4;1;26;0;False
DC;5800;4;1;26;0;False
DC;6000;4;1;26;0;False
DC;6300;4;1;26;0;False
DC;6600;4;1;26;0;False
DC;7000;4;1;26;0;False
DC;7300;4;1;26;0;False
DC;7600;4;1;26;0;False
DC;8000;4;1;26;0;False
DC;8500;4;1;26;0;False
DC;9000;4;1;26;0;False
DC;9000;4;4;26;0;False
MacCD163;100;4;0;0;497;False
MacCD163;200;4;0;0;497;False
MacCD163;300;4;0;0;497;False
MacCD163;400;4;3;12;485;False
MacCD163;500;4;7;30;467;False
MacCD163;600;4;12;55;442;False
MacCD163;800;4;22;120;377;False
MacCD163;1000;4;34;203;294;False
MacCD163;1200;4;39;263;234;False
MacCD163;1400;4;39;313;184;False
MacCD163;1600;4;38;367;130;False
MacCD163;1800;4;39;415;82;False
MacCD163;2000;4;30;437;60;False
MacCD163;2200;4;24;443;54;False
MacCD163;2400;4;19;451;46;False
MacCD163;2600;4;14;457;40;False
MacCD163;2800;4;14;470;27;False
MacCD163;3000;4;15;478;19;False
MacCD163;3200;4;14;479;18;False
MacCD163;3600;4;11;484;13;False
MacCD163;3800;4;10;485;12;False
MacCD163;4000;4;10;485;12;False
MacCD163;4200;4;9;487;10;False
MacCD163;4400;4;8;490;7;False
MacCD163;4600;4;7;490;7;False
MacCD163;4800;4;7;490;7;False
MacCD163;5000;4;6;490;7;False
MacCD163;5200;4;5;490;7;False
MacCD163;5400;4;4;490;7;False
MacCD163;5600;4;4;490;7;False
MacCD163;5800;4;4;490;7;False
MacCD163;6000;4;4;490;7;False
MacCD163;6300;4;4;493;4;False
MacCD163;6600;4;3;493;4;False
MacCD163;7000;4;3;494;3;False
MacCD163;7300;4;3;494;3;False
MacCD163;7600;4;3;494;3;False
MacCD163;8000;4;3;497;0;False
MacCD163;8500;4;3;497;0;False
MacCD163;9000;4;3;497;0;False
MacCD163;9000;4;38;332;165;False
Neutrophil;100;4;0;0;4;False
Neutrophil;200;4;0;0;4;False
Neutrophil;300;4;0;0;4;False
Neutrophil;400;4;0;0;4;False
Neutrophil;500;4;0;0;4;False
Neutrophil;600;4;0;0;4;False
Neutrophil;800;4;0;0;4;False
Neutrophil;1000;4;0;0;4;False
Neutrophil;1200;4;0;0;4;False
Neutrophil;1400;4;0;0;4;False
Neutrophil;1600;4;0;0;4;False
Neutrophil;1800;4;0;0;4;False
Neutrophil;2000;4;0;0;4;False
Neutrophil;2200;4;0;0;4;False
Neutrophil;2400;4;0;0;4;False
Neutrophil;2600;4;0;0;4;False
Neutrophil;2800;4;0;0;4;False
